,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
3810,2019,2019,GA,Georgia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,44.3,44.3,,,38.7,50.0,724.0,,,Less than high school,,,,"(32.83968109300048, -83.62758034599966)",FV,FV1,Q018,VALUE,13,Education,Less than high school,EDU,EDUHS
3811,2015,2015,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.7,38.7,,,35.9,41.6,1755.0,,65 or older,,,,,"(40.485010283, -88.997710178)",OWS,OWS1,Q037,VALUE,17,Age (years),65 or older,AGEYR,AGEYR65PLUS
3812,2015,2015,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.8,25.8,,,23.9,27.8,4129.0,,65 or older,,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q036,VALUE,12,Age (years),65 or older,AGEYR,AGEYR65PLUS
3813,2012,2012,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.5,32.5,,,29.5,35.5,2543.0,,,,,Data not reported,,"(40.793730152, -77.860700294)",OWS,OWS1,Q037,VALUE,42,Income,Data not reported,INC,INCNR
3814,2021,2021,LA,Louisiana,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.5,19.5,,,17.0,22.2,1656.0,,,College graduate,,,,"(31.31266064400046, -92.44568007099969)",FV,FV1,Q019,VALUE,22,Education,College graduate,EDU,EDUCOGRAD
3815,2022,2022,GA,Georgia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,17.6,17.6,,,14.5,21.2,867.0,,25 - 34,,,,,"(32.83968109300048, -83.62758034599966)",PA,PA1,Q047,VALUE,13,Age (years),25 - 34,AGEYR,AGEYR2534
3816,2014,2014,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,14.9,14.9,,,9.9,21.6,206.0,,,,,,Non-Hispanic White,"(13.444304, 144.793731)",OWS,OWS1,Q036,VALUE,66,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3817,2015,2015,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,26.3,26.3,,,22.6,30.4,1089.0,,,High school graduate,,,,"(39.008830667, -75.577741168)",PA,PA1,Q046,VALUE,10,Education,High school graduate,EDU,EDUHSGRAD
3818,2016,2016,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,9.4,9.4,,,7.5,11.6,1192.0,,,,,,Non-Hispanic White,"(38.890371385, -77.031961127)",OWS,OWS1,Q036,VALUE,11,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3819,2017,2017,WA,Washington,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,13.7,13.7,,,12.4,15.1,4181.0,,65 or older,,,,,"(47.522278629, -120.47001079)",FV,FV1,Q019,VALUE,53,Age (years),65 or older,AGEYR,AGEYR65PLUS
3820,2014,2014,KS,Kansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,21.4,21.4,,,19.2,23.9,1622.0,,35 - 44,,,,,"(38.3477403, -98.200781227)",PA,PA1,Q047,VALUE,20,Age (years),35 - 44,AGEYR,AGEYR3544
3821,2014,2014,MD,Maryland,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,18.9,18.9,,,13.1,26.5,266.0,,,,,,Asian,"(39.290580964, -76.609260111)",PA,PA1,Q047,VALUE,24,Race/Ethnicity,Asian,RACE,RACEASN
3822,2022,2022,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.9,24.9,,,18.9,32.1,265.0,,,,,"$75,000 or greater",,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q036,VALUE,11,Income,"$75,000 or greater",INC,INC75PLUS
3823,2014,2014,NC,North Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.5,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(35.466220975, -79.159250463)",OWS,OWS1,Q037,VALUE,37,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
3824,2020,2020,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.6,40.6,,,34.5,47.0,564.0,,,,,,Non-Hispanic Black,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,VALUE,9,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
3825,2011,2011,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,17.7,17.7,,,14.5,21.3,1004.0,,,,,"$50,000 - $74,999",,"(35.472031356, -97.521070214)",PA,PA1,Q044,VALUE,40,Income,"$50,000 - $74,999",INC,INC5075
